time_taken,net_power
23.94,209.74
23.914,238.61
24.198,100.12
23.93,-215.87
24.246,-390.46
23.982,-469.66
23.917,-199
24.23,-194.17
23.892,-138.36
24.253,280.07
23.92,20.111
23.978,-56.494
24.214,-47.616
23.954,-152.86
23.945,-308.42
24.222,-173.27
23.954,-251.76
24.207,-417.64
23.977,-645.98
24.023,-447.89
24.193,363.39
24.084,531.68
24.166,201.08
24.479,6.0568
24.164,-156.86
24.181,-414.13
24.41,44.525
24.155,-344.98
24.412,-274.62
24.167,-396.13
24.168,-281.99
24.444,-614.57
24.167,-289.95
24.187,-189.29
24.393,218.55
24.114,181.82
24.401,190.04
24.024,-4.2929
23.842,-95.494
23.952,-299.1
23.749,-256.87
23.696,35.71
23.944,179.02
23.685,132.41
24.24,-95.15
24.164,-99.28
24.188,-171.57
24.441,-42.828
24.152,-198.01
24.217,-264.65
24.423,82.644
24.186,-5.4876
24.46,17.743
24.184,39.837
24.127,-33.924
24.193,-211.46
23.303,-276.01
22.985,-101.89
23.419,-110.7
23.728,-384.57
24.513,-314.35
24.406,-36.167
24.414,-372.34
24.672,-101.81
24.405,-271.43
24.444,-492.48
24.741,-332.54
24.42,135.57
24.608,-181.91
24.135,-271.54
23.68,-108.81
23.978,-544.91
23.736,-484.09
23.746,-257.97
23.956,41.904
23.69,-61.418
23.957,-119.55
23.724,-306.63
23.704,-285.59
23.99,-356.79
23.693,-290.7
23.695,-814.33
24.03,-516.31
23.717,-48.472
23.701,-52.127
24.325,10.025
24.187,35.486
24.448,-142.84
24.192,34.801
24.173,-43.685
24.624,-44.785
25.136,-139.62
26.081,-141.94
25.578,-87.315
25.602,-238.15
61.391,-274.13
19.111,-476.01
19.935,190.82
19.722,218.96
20.24,-296.73
12.876,-359.18
12.733,-821.09
18.307,-717.75
22.996,265.05
22.763,-6.323
22.809,-386.24
22.636,-386.05
22.832,-4.1633
22.42,221.88
22.543,-762.95
22.871,-942.37
22.513,251.43
22.568,-72.395
22.745,101.79
22.544,-272.48
22.537,-340.86
22.571,-358.75
23.046,-53.789
23.01,-367.46
22.954,-294.07
23.308,-789.62
23.016,6.152
22.952,-42.586
23.29,-405.42
22.971,-160.4
22.986,-68.818
22.927,-123.36
23.226,-563.33
23.082,-79.678
22.995,91.424
23.362,-298.08
23.695,115.86
24.199,-362.66
24.286,-540
24.579,-416.69
24.184,-376.81
24.322,-379.11
24.706,-818.51
24.234,-407.76
24.16,-441.63
24.58,-372.6
24.306,-28.464
24.155,-120.87
24.339,-660.26
24.597,-271.68
24.281,-364.28
24.317,-538.03
24.529,-494.93
24.307,-91.562
24.319,-342.73
24.339,-503.34
24.6,-350.94
24.355,-478.11
24.337,-355.96
27.811,-633.33
28.666,-33.631
29.374,-607.64
29.633,-141.05
29.278,-433.49
29.369,39.942
29.706,202.61
29.487,100.34
28.27,-119.16
26.586,-1005.7
18.107,221.28
1.0956,239.02
0.048999,238.23
0.097997,240.08
0.025969,236.42
112.08,-224.51
15.561,212.08
